Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
08-03-20,3,3,0,0,0,0
09-03-20,3,0,0,0,0,0
10-03-20,3,0,0,0,0,0
11-03-20,3,0,0,0,0,0
12-03-20,3,0,0,0,0,0
13-03-20,3,0,0,0,0,0
14-03-20,3,0,0,0,0,0
15-03-20,5,2,0,0,0,0
16-03-20,8,3,0,0,2,2
17-03-20,10,2,0,0,3,1
18-03-20,14,4,1,1,3,0
19-03-20,17,3,1,0,3,0
20-03-20,20,3,1,0,3,0
21-03-20,25,5,2,1,3,0
22-03-20,27,2,2,0,3,0
23-03-20,33,6,3,1,5,2
24-03-20,39,6,4,1,5,0
25-03-20,39,0,5,1,7,2
26-03-20,44,5,5,0,11,4
27-03-20,48,4,5,0,11,0
28-03-20,48,0,5,0,15,4
29-03-20,48,0,5,0,15,0
30-03-20,49,1,5,0,19,4
31-03-20,51,2,5,0,25,6
01-04-20,54,3,6,1,25,0
02-04-20,56,2,6,0,25,0
03-04-20,61,5,6,0,26,1
04-04-20,70,9,8,2,30,4
05-04-20,88,18,9,1,33,3
06-04-20,123,35,12,3,33,0
07-04-20,164,41,17,5,33,0
08-04-20,218,54,20,3,33,0
09-04-20,330,112,21,1,33,0
10-04-20,424,94,27,6,33,0
11-04-20,482,58,30,3,36,3
12-04-20,621,139,34,4,39,3
13-04-20,803,182,39,5,42,3
14-04-20,1012,209,46,7,42,0
15-04-20,1231,219,50,4,49,7
16-04-20,1572,341,60,10,49,0
17-04-20,1838,266,75,15,58,9
18-04-20,2144,306,84,9,66,8
19-04-20,2456,312,91,7,75,9
20-04-20,2948,492,101,10,85,10
21-04-20,3382,434,110,9,87,2
22-04-20,3772,390,120,10,92,5
23-04-20,4186,414,127,7,108,16
24-04-20,4689,503,131,4,112,4
25-04-20,4998,309,140,9,113,1
26-04-20,5416,418,145,5,122,9
27-04-20,5913,497,152,7,131,9
28-04-20,6462,549,155,3,139,8
29-04-20,7103,641,163,8,150,11
30-04-20,7667,564,168,5,160,10
01-05-20,8238,571,170,2,174,14
02-05-20,8790,552,175,5,177,3
03-05-20,9455,665,177,2,1063,886
04-05-20,10143,688,182,5,1210,147
05-05-20,10929,786,183,1,1403,193
06-05-20,11719,790,186,3,1780,377
07-05-20,12425,706,199,13,1910,130
08-05-20,13134,709,206,7,2101,191
09-05-20,13770,636,214,8,2414,313
10-05-20,14657,887,228,14,2650,236
11-05-20,15691,1034,239,11,2902,252
12-05-20,16660,969,250,11,3147,245
13-05-20,17822,1162,269,19,3361,214
14-05-20,18863,1041,283,14,3603,242
15-05-20,20065,1202,298,15,3882,279
16-05-20,20995,930,314,16,4117,235
17-05-20,22268,1273,328,14,4373,256
18-05-20,23870,1602,349,21,4585,212
19-05-20,25121,1251,370,21,4993,408
20-05-20,26738,1617,386,16,5207,214
21-05-20,28511,1773,408,22,5602,395
22-05-20,30205,1694,432,24,6190,588
23-05-20,32078,1873,452,20,6486,296
24-05-20,33610,1532,480,28,6901,415
25-05-20,35585,1975,501,21,7334,433
26-05-20,36751,1166,522,21,7579,245
27-05-20,38292,1541,544,22,7925,346
28-05-20,40321,2029,559,15,8425,500
29-05-20,42844,2523,582,23,9015,590
30-05-20,44608,1764,610,28,9375,360
31-05-20,,,,,,
01-06-20,,,,,,
02-06-20,,,,,,
03-06-20,,,,,,
04-06-20,,,,,,
05-06-20,,,,,,
06-06-20,,,,,,
07-06-20,,,,,,
08-06-20,,,,,,
09-06-20,,,,,,
10-06-20,,,,,,
11-06-20,,,,,,
12-06-20,,,,,,
13-06-20,,,,,,
14-06-20,,,,,,
15-06-20,,,,,,
